 30.38	He 2 
 58.43	He 1 
 62.56	He 1 
 97.25	H  1 
 97.70	C  3 
 98.98	N  3 
 99.15	N  3 
 99.16	N  3 
102.53	He 2 
102.57	H  1 
103.19	O  6 
103.76	O  6 
108.49	He 2 
120.28	He 1 
121.51	He 2 
121.57	H  1 
123.88	N  5 
124.28	N  5 
126.04	Si 2 
130.22	O  1 
130.44	Si 2 
130.49	O  1 
130.60	O  1 
133.45	C  2 
133.57	C  2 
133.57	C  2 
139.38	Si 4 
139.72	O  4 
139.98	O  4 
140.12	O  4 
140.28	Si 4 
140.48	O  4 
140.74	O  4 
148.33	N  4 
148.65	N  4 
152.67	Si 2 
154.82	C  4 
154.90	C  4 
155.08	C  4 
164.04	He 2 
166.08	O  3 
166.62	O  3 
171.85	N  4 
174.68	N  3 
174.87	N  3 
174.97	N  3 
175.22	N  3 
175.40	N  3 
185.47	Al 3 
186.28	Al 3 
188.27	Si 3 
189.20	Si 3 
190.67	C  3 
190.87	C  3 
190.90	C 3R 
232.35	C  2 
232.47	C  2 
232.54	C  2 
232.69	C  2 
232.81	C  2 
239.54	Fe 2 
239.92	Fe 2 
240.49	Fe 2 
242.17	Ne 4 
242.43	Ne 4 
243.13	H  1 
247.02	O  2 
247.03	O  2 
247.10	O 2R 
279.55	Mg 2 
280.27	Mg 2 
282.91	He 1 
282.94	Fe 4 
283.57	Fe 4 
286.82	Ar 4 
294.51	He 1 
309.45	Fe 4 
309.50	Fe 4 
309.58	Fe 4 
318.77	He 1 
320.30	He 2 
326.50	O  3 
334.60	Ne 5 
342.60	Ne 5 
363.41	He 1 
370.48	He 1 
371.20	Ca B 
372.19	Ca B 
372.60	O  2 
372.88	O  2 
379.79	H  1 
381.96	He 1 
383.54	H  1 
386.88	Ne 3 
388.86	He 1 
388.91	H  1 
393.37	Ca 2 
396.75	Ne 3 
396.85	Ca 2 
396.47	He 1 
396.75	Ne 3 
397.01	H  1 
402.62	He 1 
406.86	S  2 
407.63	S  2 
410.17	H  1 
426.70	C  2 
434.05	H  1 
436.32	O  3 
437.90	N  3 
447.15	He 1 
457.11	Mg 1 
465.10	O  2 
465.80	Fe 3 
465.90	C  4 
468.56	He 2 
471.13	Ar 4 
474.01	Ar 4 
486.13	H  1 
492.19	He 1 
495.89	O  3 
500.68	O  3 
501.57	He 1 
515.88	Fe 2 
519.79	N  1 
520.03	N  1 
527.04	Fe 3 
530.30	Fe14 
572.07	Fe 7 
575.46	N  2 
587.56	He 1 
608.70	Fe 7 
630.03	O  1 
631.21	S  3 
636.38	O  1 
637.45	Fe10 
654.81	N  2 
656.28	H  1 
658.35	N  2 
667.81	He 1 
671.64	S  2 
673.08	S  2 
706.52	He 1 
713.58	Ar 3 
715.52	Fe 2 
731.89	O  2 
732.00	O  2 
732.30	O 2R 
732.97	O  2 
733.07	O  2 
775.11	Ar 3 
901.49	H  1 
906.86	S  3 
922.90	H  1 
953.06	S  3 
954.59	H  1 
1004.93	H  1 
1083.03	He 1 
1093.80	H  1 
1281.80	H  1 
1736.20	H  1 
1817.40	H  1 
1868.54	He 1 
1875.10	H  1 
1944.54	H  1 
2058.13	He 1 
2165.51	H  1 
2625.13	H  1 
3296.07	H  1 
3739.51	H  1 
4051.13	H  1 
4528.00	Ar 6 
4652.47	H  1 
6983.37	Ar 2 
7457.77	H  1 
7643.18	Ne 6 
8988.98	Ar 3 
10507.60	S  4 
12368.40	H  1 
12810.10	Ne 2 
14322.80	Ne 5 
15550.90	Ne 3 
18707.80	S  3 
21825.30	Ar 3 
25883.20	O  4 
25981.10	Fe 2 
33470.40	S  3 
34804.60	Si 2 
35339.40	Fe 2 
36003.60	Ne 3 
51800.40	O  3 
57323.80	N  3 
63167.90	O  1 
88332.30	O  3 
121767.00	N  2 
145495.00	O  1 
157636.00	C  2 
205244.00	N  2 
